"Start time","Last time","Attack category","Attack subcategory","Protocol","Source IP","Source Port","Destination IP","Destination Port","Attack Name"
1421927438,1421927438,"Exploits","Browser","tcp","175.45.176.3",31149,"149.171.126.11",80,"Internet Explorer Cached Objects Zone Bypass (getElementsByName) (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/ms02_066_cached_object_zone_bypass_06.xml)"
1421927439,1421927440,"Exploits","Clientside","tcp","175.45.176.1",24289,"149.171.126.19",25,"Windows URI Handling Arbitrary Command Execution (SMTP Quoted Printable) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/ms07_061_uri_handling_smtp_attachment_quoted_printable.xml)"
1421927440,1421927441,"Exploits","SMTP","tcp","175.45.176.0",43666,"149.171.126.19",25,"Sendmail headers.c Address Field Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/smtp/sendmail_address_header_overflow.xml)"
1421927441,1421927441,"Generic","SIP","udp","175.45.176.3",55249,"149.171.126.10",5060,"RFC 4475: SIP Torture Tests: Missing Required Header Fields (CSeq) (https://strikecenter.bpointsys.com/bps/strikes/generic/sip/rfc_4475_3_3_1_missing_header_field_cseq.xml)"
1421927442,1421927442,"Reconnaissance"," SunRPC Portmapper (UDP) UDP Service ","udp","175.45.176.0",36159,"149.171.126.14",111,"SunRPC UDP Portmapper GETPORT Request (statusv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/status_v3_udp.xml)"
1421927443,1421927443,"Exploits","Browser","tcp","175.45.176.1",13377,"149.171.126.12",80,"Microsoft Internet Explorer Tabular Data ActiveX Control Stack Corruption (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/ms10_018_ie_tabular_activex.xml)"
1421927444,1421927447,"Exploits","Clientside","tcp","175.45.176.0",21990,"149.171.126.13",80,"Microsoft Office Insecure Library Loading (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/cve_2011_1980_ms_office_dll_hijacking.xml)"
1421927445,1421927445,"Reconnaissance"," SunRPC Portmapper (UDP) UDP Service ","udp","175.45.176.2",29442,"149.171.126.19",111,"SunRPC UDP Portmapper GETPORT Request (kerbdv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/kerbd_v3_udp.xml)"
1421927446,1421927447,"Reconnaissance","SunRPC Portmapper (TCP) TCP Service","tcp","175.45.176.3",46282,"149.171.126.14",111,"SunRPC TCP Portmapper GETPORT Request (swu_svrv2/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_tcp/swu_svr_v2_tcp.xml)"
1421927449,1421927449,"Reconnaissance"," SunRPC Portmapper (UDP) UDP Service ","udp","175.45.176.1",20549,"149.171.126.10",111,"SunRPC UDP Portmapper GETPORT Request (rpcbindv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/rpcbind_v3_udp.xml)"
1421927449,1421927449,"Reconnaissance"," SunRPC Portmapper (UDP) UDP Service ","udp","175.45.176.3",17410,"149.171.126.14",111,"SunRPC UDP Portmapper GETPORT Request (loggerv1/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/logger_v1_udp.xml)"
1421927449,1421927450,"Exploits","Evasions","tcp","175.45.176.0",55659,"149.171.126.12",25,"CVE-2012-1438 malware evasion (malware) (https://strikecenter.bpointsys.com/bps/strikes/exploits/evasions/CVE-2012-1438_evasion_malware.xml)"
1421927450,1421927450,"Exploits","Miscellaneous Batch","tcp","175.45.176.3",7177,"149.171.126.16",80,"Microsoft Internet Printing Service Integer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/ms08_062_ipp_integer_overflow.xml)"
1421927450,1421927451,"Exploits","Evasions","tcp","175.45.176.0",56253,"149.171.126.12",25,"CVE-2012-1438 malware evasion (malware) (https://strikecenter.bpointsys.com/bps/strikes/exploits/evasions/CVE-2012-1438_evasion_malware.xml)"
1421927450,1421927452,"Exploits","Miscellaneous Batch","tcp","175.45.176.3",42254,"149.171.126.16",445,"Microsoft Internet Printing Service Integer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/ms08_062_ipp_integer_overflow.xml)"
1421927451,1421927452,"Exploits","Office Document","tcp","175.45.176.2",21424,"149.171.126.14",25,"Microsoft Works RTF File Conversion Buffer Overflow (SMTP UUEncode) (https://strikecenter.bpointsys.com/bps/strikes/exploits/office/ms08_011_wps_converter_smtp_attachment_uuencode.xml)"
1421927452,1421927453,"Reconnaissance","SunRPC Portmapper (TCP) UDP Service","tcp","175.45.176.1",61099,"149.171.126.17",111,"SunRPC TCP Portmapper GETPORT Request (remote_dbxv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_udp/remote_dbx_v3_udp.xml)"
1421927453,1421927453,"Exploits","Miscellaneous Batch","tcp","175.45.176.1",15810,"149.171.126.13",80,"HP OpenView Network Node Manager MaxAge Parameter Buffer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/cve_2010_1553.xml)"
1421927454,1421927454,"Exploits","SCADA","tcp","175.45.176.3",53973,"149.171.126.19",46823,"Sielco Sistemi Winlog Server Stack Buffer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/scada/cve_2011_0517_sielco_sistemi_winlog_bo.xml)"
1421927455,1421927456,"Generic"," IXIA","tcp","175.45.176.2",15985,"149.171.126.17",80,"Apple_QuickTime_udta_Atom_Buffer_Overflow_attack (https://strikecenter.bpointsys.com/bps/strikes/generic/ixia/apple_quicktime_udta_atom_buffer_overflow_attack.xml)"
1421927456,1421927456,"DoS","Miscellaneous","tcp","175.45.176.0",14324,"149.171.126.13",502,"Tri PLC Nano 10 PLC Denial of Service (https://strikecenter.bpointsys.com/bps/strikes/denial/misc/cve_2013_2784_tri_PLC_nano10_dos.xml)"
1421927457,1421927458,"Exploits","Office Document","tcp","175.45.176.1",50185,"149.171.126.16",110,"Microsoft Word RTF Object Parsing Vulnerability (POP3 Base64) (https://strikecenter.bpointsys.com/bps/strikes/exploits/office/ms08_072_rtf_do_pop3_download_base64.xml)"
1421927458,1421927458,"Reconnaissance","SunRPC Portmapper (UDP) TCP Service","udp","175.45.176.1",59988,"149.171.126.15",111,"SunRPC UDP Portmapper GETPORT Request (iostat2v3/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_tcp/iostat2_v3_tcp.xml)"
1421927459,1421927459,"Reconnaissance"," SunRPC Portmapper (UDP) UDP Service ","udp","175.45.176.3",13692,"149.171.126.15",111,"SunRPC UDP Portmapper GETPORT Request (rusersdv1/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/rusersd_v1_udp.xml)"
1421927460,1421927460,"Exploits","Cisco IOS ","tcp","175.45.176.0",30560,"149.171.126.12",80,"Cisco IOS HTTP Authentication Bypass Level 22 (https://strikecenter.bpointsys.com/bps/strikes/exploits/ios/cisco_auth_bypass_level_22.xml)"
1421927461,1421927461,"Exploits","Web Application","tcp","175.45.176.0",28807,"149.171.126.17",80,"SQuery netpanzer.php libpath Parameter PHP File Include (https://strikecenter.bpointsys.com/bps/strikes/exploits/webapp/include/squery_include_15.xml)"
1421927462,1421927462,"DoS"," SNMP","udp","175.45.176.2",6551,"149.171.126.12",162,"Cisco SNMP Trap Service GET Request DoS (162) (https://strikecenter.bpointsys.com/bps/strikes/denial/snmp/cisco_snmptrap_snmp_01.xml)"
1421927463,1421927464,"Exploits","Office Document","tcp","175.45.176.2",7371,"149.171.126.15",110,"Microsoft Excel SxView Memory Corruption (POP3) (https://strikecenter.bpointsys.com/bps/strikes/exploits/office/ms09_067_excel_sxview_memory_corruption_pop3_download_base64.xml)"
1421927464,1421927467,"Exploits","Clientside","tcp","175.45.176.0",40411,"149.171.126.13",110,"Microsoft Powerpoint 2003 Heap Overflow (POP3) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/microsoft/office/powerpnt_2003_heap_overflow_pop3_download_quoted_printable.xml)"
1421927464,1421927467,"Exploits","Clientside Microsoft Office","tcp","175.45.176.0",40411,"149.171.126.13",110,"Microsoft Powerpoint 2003 Heap Overflow (POP3) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/microsoft/office/powerpnt_2003_heap_overflow_pop3_download_quoted_printable.xml)"
1421927465,1421927466,"Shellcode","Multiple OS","tcp","175.45.176.0",44900,"149.171.126.10",36668,"Shellcode: Multi-OS Shell (solaris/linux/irix) - dymitri (TCP) (https://strikecenter.bpointsys.com/bps/strikes/shellcode/multi/shell_multi_dymitri_3_tcp.xml)"
1421927466,1421927466,"Shellcode","Mac OS X","udp","175.45.176.1",18257,"149.171.126.10",35019,"Shellcode: Mac OS X PPC Reverse Shell - metasploit (UDP) (https://strikecenter.bpointsys.com/bps/strikes/shellcode/osx/reverse_ppc_metasploit_udp.xml)"
1421927467,1421927468,"Reconnaissance","SunRPC Portmapper (TCP) UDP Service","tcp","175.45.176.0",45372,"149.171.126.16",111,"SunRPC TCP Portmapper GETPORT Request (DNInodev1/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_udp/dninode_v1_udp.xml)"
1421927468,1421927469,"Reconnaissance","HTTP","tcp","175.45.176.2",35000,"149.171.126.19",80,"Microsoft FrontPage: shtml.dll XSS (https://strikecenter.bpointsys.com/bps/strikes/recon/http/frontpage/shtml_dll_xss.xml)"
1421927470,1421927471,"Exploits","Backup Appliance","tcp","175.45.176.0",7595,"149.171.126.14",5555,"HP Data Protector Cell OmniInet Opcode 29 and 11 Command Execution (https://strikecenter.bpointsys.com/bps/strikes/exploits/backup/cve_2014_2623_hp_data_protector_omniinet_opcode_28_and_11_buffer_overflow.xml)"
1421927471,1421927472,"Exploits","Miscellaneous Batch","tcp","175.45.176.3",22406,"149.171.126.14",80,"Novell Messenger Client Stack Buffer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/cve_2013_1085.xml)"
1421927473,1421927474,"Exploits","Office Document","tcp","175.45.176.3",52793,"149.171.126.16",80,"Microsoft Office Art Property Memory Corruption (HTTP) (https://strikecenter.bpointsys.com/bps/strikes/exploits/office/ms09_062_msoffice_officeart_memory_corruption_http_download.xml)"
1421927474,1421927475,"Exploits","Web Application","tcp","175.45.176.1",4542,"149.171.126.12",80,"PHPSimpleShop login.php abs_path Parameter PHP File Include (https://strikecenter.bpointsys.com/bps/strikes/exploits/webapp/include/phpsimpleshop_include_04.xml)"
1421927476,1421927476,"Exploits","Browser","tcp","175.45.176.2",35605,"149.171.126.18",80,"GE Proficy Historian ActiveX Remote Code Execution (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/cve_2012_2516_GE_Proficy_Historian_ActiveX_RemoteCodeExecution.xml)"
1421927476,1421927477,"Exploits","Clientside","tcp","175.45.176.1",43058,"149.171.126.14",110,"Microsoft Paint JPEG Integer Overflow Code Execution (POP3 Base64) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/microsoft/paint/ms10_005_ms_paint_int_overflow_pop3_download_base64.xml)"
1421927476,1421927477,"Exploits","Clientside Microsoft Paint ","tcp","175.45.176.1",43058,"149.171.126.14",110,"Microsoft Paint JPEG Integer Overflow Code Execution (POP3 Base64) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/microsoft/paint/ms10_005_ms_paint_int_overflow_pop3_download_base64.xml)"
1421927477,1421927478,"Shellcode","Linux","tcp","175.45.176.3",42061,"149.171.126.18",59324,"Shellcode: Linux SPARC Reverse Connect Shell - metasploit (TCP) (https://strikecenter.bpointsys.com/bps/strikes/shellcode/linux/reverse_sparc_metasploit_tcp.xml)"
1421927478,1421927479,"Exploits","Cisco IOS ","tcp","175.45.176.1",9638,"149.171.126.17",80,"Cisco IOS HTTP Authentication Bypass Level 85 (https://strikecenter.bpointsys.com/bps/strikes/exploits/ios/cisco_auth_bypass_level_85.xml)"
1421927479,1421927480,"Exploits","Miscellaneous Batch","tcp","175.45.176.3",40982,"149.171.126.12",25,"Pirate Radio Destiny Media Player Buffer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/cve_2009_3429_destiny_mediaplayer_BO.xml)"
1421927480,1421927480,"Reconnaissance","SunRPC Portmapper (UDP) TCP Service","udp","175.45.176.1",35063,"149.171.126.17",111,"SunRPC UDP Portmapper GETPORT Request (iostatv3/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_tcp/iostat_v3_tcp.xml)"
1421927481,1421927482,"Exploits"," Clientside Microsoft ","tcp","175.45.176.2",40291,"149.171.126.19",143,"Windows Media Player ASF Media File Format Parsing Code Execution (IMAP4) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/microsoft/media_player/ms09_052_wmp_asf_large_markers_count_imap4_download_base64.xml)"
1421927481,1421927482,"Exploits","Clientside","tcp","175.45.176.2",40291,"149.171.126.19",143,"Windows Media Player ASF Media File Format Parsing Code Execution (IMAP4) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/microsoft/media_player/ms09_052_wmp_asf_large_markers_count_imap4_download_base64.xml)"
1421927481,1421927482,"Exploits","Clientside Microsoft Media Player ","tcp","175.45.176.2",40291,"149.171.126.19",143,"Windows Media Player ASF Media File Format Parsing Code Execution (IMAP4) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/microsoft/media_player/ms09_052_wmp_asf_large_markers_count_imap4_download_base64.xml)"
1421927482,1421927483,"Reconnaissance","SunRPC Portmapper (TCP) UDP Service","tcp","175.45.176.3",59106,"149.171.126.18",111,"SunRPC TCP Portmapper GETPORT Request (nsedv2/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_udp/nsed_v2_udp.xml)"
1421927483,1421927483,"Reconnaissance","SunRPC Portmapper (UDP) TCP Service","udp","175.45.176.2",44133,"149.171.126.19",111,"SunRPC UDP Portmapper GETPORT Request (rstatdv1/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_tcp/rstatd_v1_tcp.xml)"
1421927485,1421927485,"Generic"," IXIA","tcp","175.45.176.2",8037,"149.171.126.10",80,"Adobe_Shockwave_Player_DIR_Files_PAMI_Chunk_Code_Execution_attack (https://strikecenter.bpointsys.com/bps/strikes/generic/ixia/adobe_shockwave_player_dir_files_pami_chunk_code_execution_attack.xml)"
1421927485,1421927485,"Reconnaissance"," SunRPC Portmapper (UDP) UDP Service ","udp","175.45.176.0",16116,"149.171.126.12",111,"SunRPC UDP Portmapper GETPORT Request (cmsdv1/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/cmsd_v1_udp.xml)"
1421927486,1421927486,"Generic","SIP","udp","175.45.176.2",49950,"149.171.126.16",5060,"RFC 4475: SIP Torture Tests: Unknown Protocol Version (https://strikecenter.bpointsys.com/bps/strikes/generic/sip/rfc_4475_3_1_2_16_unknown_protocol_version.xml)"
1421927487,1421927488,"Shellcode","Solaris","tcp","175.45.176.3",3910,"149.171.126.10",19757,"Shellcode: Solaris SPARC Reverse Connect Shell - metasploit (TCP) (https://strikecenter.bpointsys.com/bps/strikes/shellcode/solaris/reverse_sparc_metasploit_tcp.xml)"
1421927488,1421927489,"Generic","SMTP","tcp","175.45.176.1",56648,"149.171.126.19",25,"SMTP: Executable File Attachment in Archive (SCR in TAR.GZ) (https://strikecenter.bpointsys.com/bps/strikes/generic/smtp/attachment_tar_gz_scr.xml)"
1421927490,1421927490,"Exploits","Clientside","tcp","175.45.176.3",4267,"149.171.126.14",80,"Apple iOS 5-5.1 URL bar spoofing (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/apple_ios5_url_bar_spoofing.xml)"
1421927490,1421927491,"Exploits","Office Document","tcp","175.45.176.3",34845,"149.171.126.19",110,"Microsoft Excel REPT() Formula Parsing Vulnerability (POP3 Base64) (https://strikecenter.bpointsys.com/bps/strikes/exploits/office/ms08_057_excel_rept_pop3_download_base64.xml)"
1421927491,1421927492,"Exploits","Microsoft IIS","tcp","175.45.176.1",38267,"149.171.126.10",80,"Microsoft IIS:  Unicode Directory Traversal Command Execution Variant 6 (https://strikecenter.bpointsys.com/bps/strikes/exploits/iis/unicode_execution_006.xml)"
1421927492,1421927493,"DoS","Miscellaneous","tcp","175.45.176.0",13630,"149.171.126.12",110,"Apple OS X QuickDraw GetSrcBits32ARGB Memory Corruption Denial of Service (POP3) (https://strikecenter.bpointsys.com/bps/strikes/denial/misc/osx_quickdraw_getsrcbits32argb_pop3_download.xml)"
1421927493,1421927494,"Exploits","Miscellaneous Batch","tcp","175.45.176.0",3694,"149.171.126.10",80,"Mac OS X Finder DMG Volume Name Memory Corruption (HTTP) (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/osx_finder_dmg_volume_name_memory_corruption_http_download.xml)"
1421927494,1421927495,"Exploits","Cisco IOS ","tcp","175.45.176.1",11116,"149.171.126.12",80,"Cisco IOS HTTP Authentication Bypass Level 59 (https://strikecenter.bpointsys.com/bps/strikes/exploits/ios/cisco_auth_bypass_level_59.xml)"
1421927495,1421927496,"Exploits","Web Application","tcp","175.45.176.1",6719,"149.171.126.17",80,"Cisco Secure ACS LogonProxy.cgi Ok Parameter XSS (https://strikecenter.bpointsys.com/bps/strikes/exploits/webapp/xss/cisco_acs_xss_03.xml)"
1421927497,1421927497,"Exploits","Oracle","tcp","175.45.176.1",10126,"149.171.126.19",1521,"Oracle Database Server AUTH_SESSKEY Stack Buffer Overflow (https://strikecenter.bpointsys.com/bps/strikes/exploits/oracle/cve_2009_1979_oracle_database_server_auth_sesskey_stack_buffer_overflow.xml)"
1421927498,1421927498,"Reconnaissance","SunRPC Portmapper (UDP) TCP Service","udp","175.45.176.0",2871,"149.171.126.11",111,"SunRPC UDP Portmapper GETPORT Request (x25v2/tcp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_tcp/x25_v2_tcp.xml)"
1421927499,1421927499,"DoS","Browser","tcp","175.45.176.3",44421,"149.171.126.18",80,"Mozilla Firefox XUL menupopup.menu Null Pointer Dereference (https://strikecenter.bpointsys.com/bps/strikes/denial/browser/firefox_xul_null_menu.xml)"
1421927500,1421927500,"Reconnaissance","SunRPC Portmapper (TCP) UDP Service","tcp","175.45.176.3",48454,"149.171.126.12",111,"SunRPC TCP Portmapper GETPORT Request (rexdv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_udp/rexd_v3_udp.xml)"
1421927501,1421927501,"Exploits","Telnet","tcp","175.45.176.2",24568,"149.171.126.12",23,"Solaris in.telnetd -fuser Authentication Bypass (root) (https://strikecenter.bpointsys.com/bps/strikes/exploits/telnet/solaris_fuser_1.xml)"
1421927502,1421927502,"DoS","Browser","tcp","175.45.176.2",32188,"149.171.126.11",80,"Apple Quicktime for Windows QTPlugin.ocx ActiveX Control SetBgColor Denial of Service (https://strikecenter.bpointsys.com/bps/strikes/denial/browser/apple_quicktime_activex_setbgcolor.xml)"
1421927503,1421927503,"Exploits","Clientside","tcp","175.45.176.1",42419,"149.171.126.12",143,"Adobe Acrobat Reader 'customDictionaryOpen' Memory Corruption (IMAP4 Quoted Printable) (https://strikecenter.bpointsys.com/bps/strikes/exploits/clientside/acrobat_pdf_custom_dictionary_open_imap4_download_quoted_printable.xml)"
1421927504,1421927504,"Reconnaissance"," SunRPC Portmapper (UDP) UDP Service ","udp","175.45.176.0",59561,"149.171.126.17",111,"SunRPC UDP Portmapper GETPORT Request (sunvtsv2/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_udp/service_udp/sunvts_v2_udp.xml)"
1421927505,1421927505,"Exploits","Miscellaneous Batch","tcp","175.45.176.3",14446,"149.171.126.10",110,"libpng png_handle_sBIT() Local Overflow (POP3) (https://strikecenter.bpointsys.com/bps/strikes/exploits/misc/libpng_overflow_pop3_download.xml)"
1421927506,1421927506,"Reconnaissance","SunRPC Portmapper (TCP) UDP Service","tcp","175.45.176.3",9731,"149.171.126.13",111,"SunRPC TCP Portmapper GETPORT Request (hostmemv3/udp) (https://strikecenter.bpointsys.com/bps/strikes/recon/sunrpc/portmap_tcp/service_udp/hostmem_v3_udp.xml)"
1421927507,1421927508,"Exploits","Browser","tcp","175.45.176.2",2114,"149.171.126.10",65419,"Microsoft Visual Basic 6.0 Masked Edit ActiveX Control Mask Parameter Memory Corruption (https://strikecenter.bpointsys.com/bps/strikes/exploits/browser/ftp/ms08_070_masked_edit_control_ftp.xml)"
